2022-09-03 12:35:52,892 - __main__ - INFO - Experimental details:
2022-09-03 12:35:52,892 - __main__ - INFO -     Number of Users : 10
2022-09-03 12:35:52,892 - __main__ - INFO -     Epochs     : 10
2022-09-03 12:35:52,892 - __main__ - INFO -     Optimizer : sgd
2022-09-03 12:35:52,892 - __main__ - INFO -     Learning Rate : 5e-06
2022-09-03 12:35:52,892 - __main__ - INFO -     Multi Model : True
2022-09-03 12:35:52,892 - __main__ - INFO -     Dataset : FMNIST
2022-09-03 12:35:52,892 - __main__ - INFO -     Non-IID#2
2022-09-03 12:35:52,892 - __main__ - INFO -     Batch size   : 40
2022-09-03 12:36:01,112 - __main__ - INFO - Device: 1, Epoch: 1/10, Step: 25/120, Acc: 1.3%, Loss: 3.1853
2022-09-03 12:36:01,603 - __main__ - INFO - Device: 1, Epoch: 1/10, Step: 50/120, Acc: 1.6%, Loss: 2.8885
2022-09-03 12:36:02,071 - __main__ - INFO - Device: 1, Epoch: 1/10, Step: 75/120, Acc: 3.3%, Loss: 2.5858
2022-09-03 12:36:02,566 - __main__ - INFO - Device: 1, Epoch: 1/10, Step: 100/120, Acc: 6.475%, Loss: 2.3147
2022-09-03 12:36:03,412 - __main__ - INFO - Device: 1, Epoch: 2/10, Step: 25/120, Acc: 38.2%, Loss: 1.8443
2022-09-03 12:36:03,901 - __main__ - INFO - Device: 1, Epoch: 2/10, Step: 50/120, Acc: 44.75%, Loss: 1.6385
2022-09-03 12:36:04,361 - __main__ - INFO - Device: 1, Epoch: 2/10, Step: 75/120, Acc: 49.6333%, Loss: 1.4557
2022-09-03 12:36:04,832 - __main__ - INFO - Device: 1, Epoch: 2/10, Step: 100/120, Acc: 53.95%, Loss: 1.3335
2022-09-03 12:36:05,695 - __main__ - INFO - Device: 1, Epoch: 3/10, Step: 25/120, Acc: 73.7%, Loss: 1.1069
2022-09-03 12:36:06,193 - __main__ - INFO - Device: 1, Epoch: 3/10, Step: 50/120, Acc: 74.35%, Loss: 1.0448
2022-09-03 12:36:06,711 - __main__ - INFO - Device: 1, Epoch: 3/10, Step: 75/120, Acc: 75.5333%, Loss: 0.9548
2022-09-03 12:36:07,220 - __main__ - INFO - Device: 1, Epoch: 3/10, Step: 100/120, Acc: 76.5%, Loss: 0.8947
2022-09-03 12:36:08,061 - __main__ - INFO - Device: 1, Epoch: 4/10, Step: 25/120, Acc: 82.7%, Loss: 0.8167
2022-09-03 12:36:08,536 - __main__ - INFO - Device: 1, Epoch: 4/10, Step: 50/120, Acc: 82.95%, Loss: 0.7555
2022-09-03 12:36:08,992 - __main__ - INFO - Device: 1, Epoch: 4/10, Step: 75/120, Acc: 83.9667%, Loss: 0.7083
2022-09-03 12:36:09,502 - __main__ - INFO - Device: 1, Epoch: 4/10, Step: 100/120, Acc: 84.825%, Loss: 0.6481
2022-09-03 12:36:10,357 - __main__ - INFO - Device: 1, Epoch: 5/10, Step: 25/120, Acc: 85.5%, Loss: 0.6344
2022-09-03 12:36:10,837 - __main__ - INFO - Device: 1, Epoch: 5/10, Step: 50/120, Acc: 86.75%, Loss: 0.5801
2022-09-03 12:36:11,307 - __main__ - INFO - Device: 1, Epoch: 5/10, Step: 75/120, Acc: 87.6667%, Loss: 0.5459
2022-09-03 12:36:11,776 - __main__ - INFO - Device: 1, Epoch: 5/10, Step: 100/120, Acc: 87.65%, Loss: 0.5544
2022-09-03 12:36:12,629 - __main__ - INFO - Device: 1, Epoch: 6/10, Step: 25/120, Acc: 87.3%, Loss: 0.5501
2022-09-03 12:36:13,094 - __main__ - INFO - Device: 1, Epoch: 6/10, Step: 50/120, Acc: 88.05%, Loss: 0.4771
2022-09-03 12:36:13,552 - __main__ - INFO - Device: 1, Epoch: 6/10, Step: 75/120, Acc: 88.4333%, Loss: 0.4733
2022-09-03 12:36:14,037 - __main__ - INFO - Device: 1, Epoch: 6/10, Step: 100/120, Acc: 89.2%, Loss: 0.4523
2022-09-03 12:36:14,894 - __main__ - INFO - Device: 1, Epoch: 7/10, Step: 25/120, Acc: 91.2%, Loss: 0.4124
2022-09-03 12:36:15,379 - __main__ - INFO - Device: 1, Epoch: 7/10, Step: 50/120, Acc: 91.3%, Loss: 0.4147
2022-09-03 12:36:15,864 - __main__ - INFO - Device: 1, Epoch: 7/10, Step: 75/120, Acc: 90.6667%, Loss: 0.457
2022-09-03 12:36:16,349 - __main__ - INFO - Device: 1, Epoch: 7/10, Step: 100/120, Acc: 90.55%, Loss: 0.411
2022-09-03 12:36:17,211 - __main__ - INFO - Device: 1, Epoch: 8/10, Step: 25/120, Acc: 92.0%, Loss: 0.3709
2022-09-03 12:36:17,705 - __main__ - INFO - Device: 1, Epoch: 8/10, Step: 50/120, Acc: 91.05%, Loss: 0.3885
2022-09-03 12:36:18,181 - __main__ - INFO - Device: 1, Epoch: 8/10, Step: 75/120, Acc: 91.3%, Loss: 0.3486
2022-09-03 12:36:18,649 - __main__ - INFO - Device: 1, Epoch: 8/10, Step: 100/120, Acc: 91.2%, Loss: 0.3561
2022-09-03 12:36:19,501 - __main__ - INFO - Device: 1, Epoch: 9/10, Step: 25/120, Acc: 91.6%, Loss: 0.3496
2022-09-03 12:36:19,976 - __main__ - INFO - Device: 1, Epoch: 9/10, Step: 50/120, Acc: 92.2%, Loss: 0.3041
2022-09-03 12:36:20,440 - __main__ - INFO - Device: 1, Epoch: 9/10, Step: 75/120, Acc: 92.1%, Loss: 0.314
2022-09-03 12:36:20,923 - __main__ - INFO - Device: 1, Epoch: 9/10, Step: 100/120, Acc: 92.45%, Loss: 0.3086
2022-09-03 12:36:21,792 - __main__ - INFO - Device: 1, Epoch: 10/10, Step: 25/120, Acc: 91.3%, Loss: 0.3186
2022-09-03 12:36:22,266 - __main__ - INFO - Device: 1, Epoch: 10/10, Step: 50/120, Acc: 92.45%, Loss: 0.2837
2022-09-03 12:36:22,778 - __main__ - INFO - Device: 1, Epoch: 10/10, Step: 75/120, Acc: 92.9%, Loss: 0.2825
2022-09-03 12:36:23,266 - __main__ - INFO - Device: 1, Epoch: 10/10, Step: 100/120, Acc: 93.0%, Loss: 0.2937
2022-09-03 12:36:31,169 - __main__ - INFO - Test Acc: 18.57 % Loss: 4.57
2022-09-03 12:36:31,639 - __main__ - INFO - Device: 2, Epoch: 1/10, Step: 25/120, Acc: 4.8%, Loss: 2.7358
2022-09-03 12:36:32,093 - __main__ - INFO - Device: 2, Epoch: 1/10, Step: 50/120, Acc: 7.1%, Loss: 2.5124
2022-09-03 12:36:32,559 - __main__ - INFO - Device: 2, Epoch: 1/10, Step: 75/120, Acc: 9.5667%, Loss: 2.2657
2022-09-03 12:36:33,041 - __main__ - INFO - Device: 2, Epoch: 1/10, Step: 100/120, Acc: 13.35%, Loss: 1.9959
2022-09-03 12:36:33,908 - __main__ - INFO - Device: 2, Epoch: 2/10, Step: 25/120, Acc: 47.6%, Loss: 1.6233
2022-09-03 12:36:34,380 - __main__ - INFO - Device: 2, Epoch: 2/10, Step: 50/120, Acc: 53.75%, Loss: 1.4588
2022-09-03 12:36:34,858 - __main__ - INFO - Device: 2, Epoch: 2/10, Step: 75/120, Acc: 58.7333%, Loss: 1.2835
2022-09-03 12:36:35,320 - __main__ - INFO - Device: 2, Epoch: 2/10, Step: 100/120, Acc: 62.85%, Loss: 1.1833
2022-09-03 12:36:36,161 - __main__ - INFO - Device: 2, Epoch: 3/10, Step: 25/120, Acc: 79.3%, Loss: 1.0109
2022-09-03 12:36:36,619 - __main__ - INFO - Device: 2, Epoch: 3/10, Step: 50/120, Acc: 81.3%, Loss: 0.8989
2022-09-03 12:36:37,099 - __main__ - INFO - Device: 2, Epoch: 3/10, Step: 75/120, Acc: 81.5%, Loss: 0.8575
2022-09-03 12:36:37,612 - __main__ - INFO - Device: 2, Epoch: 3/10, Step: 100/120, Acc: 81.85%, Loss: 0.8034
2022-09-03 12:36:38,454 - __main__ - INFO - Device: 2, Epoch: 4/10, Step: 25/120, Acc: 87.9%, Loss: 0.7107
2022-09-03 12:36:38,938 - __main__ - INFO - Device: 2, Epoch: 4/10, Step: 50/120, Acc: 87.25%, Loss: 0.6786
2022-09-03 12:36:39,417 - __main__ - INFO - Device: 2, Epoch: 4/10, Step: 75/120, Acc: 86.9667%, Loss: 0.654
2022-09-03 12:36:39,905 - __main__ - INFO - Device: 2, Epoch: 4/10, Step: 100/120, Acc: 87.6%, Loss: 0.5806
2022-09-03 12:36:40,755 - __main__ - INFO - Device: 2, Epoch: 5/10, Step: 25/120, Acc: 88.5%, Loss: 0.5523
2022-09-03 12:36:41,243 - __main__ - INFO - Device: 2, Epoch: 5/10, Step: 50/120, Acc: 88.6%, Loss: 0.551
2022-09-03 12:36:41,711 - __main__ - INFO - Device: 2, Epoch: 5/10, Step: 75/120, Acc: 89.2667%, Loss: 0.5045
2022-09-03 12:36:42,177 - __main__ - INFO - Device: 2, Epoch: 5/10, Step: 100/120, Acc: 89.275%, Loss: 0.4926
2022-09-03 12:36:43,006 - __main__ - INFO - Device: 2, Epoch: 6/10, Step: 25/120, Acc: 90.3%, Loss: 0.4714
2022-09-03 12:36:43,483 - __main__ - INFO - Device: 2, Epoch: 6/10, Step: 50/120, Acc: 90.2%, Loss: 0.4592
2022-09-03 12:36:43,960 - __main__ - INFO - Device: 2, Epoch: 6/10, Step: 75/120, Acc: 90.4%, Loss: 0.4289
2022-09-03 12:36:44,435 - __main__ - INFO - Device: 2, Epoch: 6/10, Step: 100/120, Acc: 90.675%, Loss: 0.419
2022-09-03 12:36:45,305 - __main__ - INFO - Device: 2, Epoch: 7/10, Step: 25/120, Acc: 93.3%, Loss: 0.3748
2022-09-03 12:36:45,797 - __main__ - INFO - Device: 2, Epoch: 7/10, Step: 50/120, Acc: 92.55%, Loss: 0.3772
2022-09-03 12:36:46,268 - __main__ - INFO - Device: 2, Epoch: 7/10, Step: 75/120, Acc: 92.8333%, Loss: 0.3518
2022-09-03 12:36:46,759 - __main__ - INFO - Device: 2, Epoch: 7/10, Step: 100/120, Acc: 92.1%, Loss: 0.3921
2022-09-03 12:36:47,605 - __main__ - INFO - Device: 2, Epoch: 8/10, Step: 25/120, Acc: 93.5%, Loss: 0.324
2022-09-03 12:36:48,099 - __main__ - INFO - Device: 2, Epoch: 8/10, Step: 50/120, Acc: 93.3%, Loss: 0.3297
2022-09-03 12:36:48,566 - __main__ - INFO - Device: 2, Epoch: 8/10, Step: 75/120, Acc: 93.3667%, Loss: 0.3271
2022-09-03 12:36:49,040 - __main__ - INFO - Device: 2, Epoch: 8/10, Step: 100/120, Acc: 93.075%, Loss: 0.3358
2022-09-03 12:36:50,001 - __main__ - INFO - Device: 2, Epoch: 9/10, Step: 25/120, Acc: 92.3%, Loss: 0.3197
2022-09-03 12:36:50,524 - __main__ - INFO - Device: 2, Epoch: 9/10, Step: 50/120, Acc: 92.45%, Loss: 0.3207
2022-09-03 12:36:51,089 - __main__ - INFO - Device: 2, Epoch: 9/10, Step: 75/120, Acc: 93.0333%, Loss: 0.2788
2022-09-03 12:36:51,700 - __main__ - INFO - Device: 2, Epoch: 9/10, Step: 100/120, Acc: 93.05%, Loss: 0.2858
2022-09-03 12:36:52,703 - __main__ - INFO - Device: 2, Epoch: 10/10, Step: 25/120, Acc: 93.6%, Loss: 0.2857
2022-09-03 12:36:53,238 - __main__ - INFO - Device: 2, Epoch: 10/10, Step: 50/120, Acc: 93.4%, Loss: 0.2933
2022-09-03 12:36:53,800 - __main__ - INFO - Device: 2, Epoch: 10/10, Step: 75/120, Acc: 94.0%, Loss: 0.2567
2022-09-03 12:36:54,344 - __main__ - INFO - Device: 2, Epoch: 10/10, Step: 100/120, Acc: 94.2%, Loss: 0.2503
