2022-11-17 12:41:48,620 - __main__ - INFO - Experimental details:
2022-11-17 12:41:48,620 - __main__ - INFO -     Number of Users : 10
2022-11-17 12:41:48,620 - __main__ - INFO -     Epochs     : 10
2022-11-17 12:41:48,620 - __main__ - INFO -     Optimizer : sgd
2022-11-17 12:41:48,620 - __main__ - INFO -     Learning Rate : 5e-06
2022-11-17 12:41:48,620 - __main__ - INFO -     Multi Model : False
2022-11-17 12:41:48,620 - __main__ - INFO -     Dataset : CINIC
2022-11-17 12:41:48,620 - __main__ - INFO -     Non-IID#1
2022-11-17 12:41:48,620 - __main__ - INFO -     Batch size   : 40
2022-11-17 12:43:41,063 - __main__ - INFO - Device: 1, Epoch: 1/10, Step: 25/179, Acc: 0.3%, Loss: 14.0426
2022-11-17 12:43:42,925 - __main__ - INFO - Device: 1, Epoch: 1/10, Step: 50/179, Acc: 0.2%, Loss: 13.8202
2022-11-17 12:43:44,783 - __main__ - INFO - Device: 1, Epoch: 1/10, Step: 75/179, Acc: 0.1333%, Loss: 14.0148
2022-11-17 12:43:46,643 - __main__ - INFO - Device: 1, Epoch: 1/10, Step: 100/179, Acc: 0.1%, Loss: 13.9127
2022-11-17 12:43:48,507 - __main__ - INFO - Device: 1, Epoch: 1/10, Step: 125/179, Acc: 0.1%, Loss: 13.8804
2022-11-17 12:43:50,368 - __main__ - INFO - Device: 1, Epoch: 1/10, Step: 150/179, Acc: 0.1%, Loss: 13.7007
2022-11-17 12:43:52,253 - __main__ - INFO - Device: 1, Epoch: 1/10, Step: 175/179, Acc: 0.0857%, Loss: 13.8032
2022-11-17 12:43:54,570 - __main__ - INFO - Device: 1, Epoch: 2/10, Step: 25/179, Acc: 0.1%, Loss: 13.6364
2022-11-17 12:43:56,437 - __main__ - INFO - Device: 1, Epoch: 2/10, Step: 50/179, Acc: 0.05%, Loss: 13.4059
2022-11-17 12:43:58,301 - __main__ - INFO - Device: 1, Epoch: 2/10, Step: 75/179, Acc: 0.0667%, Loss: 13.6018
2022-11-17 12:44:00,179 - __main__ - INFO - Device: 1, Epoch: 2/10, Step: 100/179, Acc: 0.05%, Loss: 13.5472
2022-11-17 12:44:02,036 - __main__ - INFO - Device: 1, Epoch: 2/10, Step: 125/179, Acc: 0.06%, Loss: 13.4353
